Date,Away Team,Home Team,Trigger,Initial Call,Final Ruling,Ruling Description,Team Challenged,Challenge Outcome,Period,Game Clock - Review is Triggered,Video Link
11/25/2024,BKN,GSW,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,GSW,Successful,2,02:58.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400284_20241125_225946
11/25/2024,POR,MEM,Challenge of Called Foul,Defensive Foul,Overturned,Loose Ball Foul,MEM,Successful,4,10:12.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400282_20241125_232240
11/25/2024,OKC,SAC,Challenge OOB,Home Team Ball,Stands,Home Team Ball,OKC,Unsuccessful,4,07:30.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400285_20241126_000048
11/25/2024,BKN,GSW,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,GSW,Unsuccessful,4,06:16.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400284_20241126_000910
11/26/2024,CHI,WAS,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),WAS,Successful,3,02:06.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400035_20241126_204312
11/26/2024,HOU,MIN,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,MIN,Successful,2,05:10.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400037_20241126_205021
11/26/2024,SAS,UTA,Challenge of Called Foul,Defensive Foul,Overturned,Defensive Foul,UTA,Successful,3,09:48.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400038_20241126_222821
11/26/2024,SAS,UTA,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Gains Possession,UTA,Successful,3,06:02.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400038_20241126_224009
11/26/2024,LAL,PHX,Challenge OOB,Away Team Ball,Stands,Away Team Ball,PHX,Unsuccessful,2,04:48.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400039_20241126_224909
11/26/2024,LAL,PHX,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,LAL,Successful,2,04:32.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400039_20241126_225326
11/26/2024,SAS,UTA,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),SAS,Successful,4,01:43.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400038_20241126_232259
11/27/2024,ATL,CLE,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,CLE,Unsuccessful,1,02:52.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400287_20241127_193312
11/27/2024,LAC,WAS,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,WAS,Successful,2,07:08.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400291_20241127_194838
11/27/2024,HOU,PHI,Challenge of Called Foul,Loose Ball Foul,Stands,Loose Ball Foul,HOU,Unsuccessful,2,07:45.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400290_20241127_195147
11/27/2024,LAC,WAS,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,LAC,Unsuccessful,3,00:37.3,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400291_20241127_204710
11/27/2024,NYK,DAL,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,DAL,Unsuccessful,3,06:01.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400292_20241127_211053
11/27/2024,DEN,UTA,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,DEN,Successful,1,10:02.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400298_20241127_211403
11/27/2024,HOU,PHI,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,PHI,Unsuccessful,4,03:07.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400290_20241127_211747
11/27/2024,DET,MEM,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,MEM,Successful,3,10:34.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400293_20241127_212418
11/27/2024,TOR,NOP,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,TOR,Successful,3,03:05.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400295_20241127_213821
11/27/2024,SAC,MIN,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Gains Possession,MIN,Successful,3,00:02.4,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400294_20241127_215501
11/27/2024,DEN,UTA,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Gains Possession,UTA,Successful,2,03:19.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400298_20241127_215754
11/27/2024,BKN,PHX,Challenge of Called Foul,Defensive Foul,Overturned,Defensive Foul,BKN,Successful,4,01:16.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400297_20241127_232648
11/29/2024,NYK,CHA,Challenge OOB,Jump Ball,Overturned,Away Team Ball,NYK,Successful,3,07:23.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400040_20241129_132757
11/29/2024,TOR,MIA,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,TOR,Unsuccessful,1,07:23.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400046_20241129_202059
11/29/2024,DET,IND,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,DET,Successful,1,02:21.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400045_20241129_203302
11/29/2024,ORL,BKN,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),ORL,Successful,2,01:07.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400043_20241129_203610
11/29/2024,ORL,BKN,Challenge Goaltending/BI,Goaltending,Stands,Goaltending,ORL,Unsuccessful,4,07:07.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400043_20241129_213954
11/29/2024,DET,IND,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,IND,Unsuccessful,4,07:04.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400045_20241129_220042
11/29/2024,BOS,CHI,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,BOS,Unsuccessful,4,01:49.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400047_20241129_220710
11/29/2024,SAC,POR,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,SAC,Successful,2,02:45.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400049_20241129_230305
11/30/2024,ATL,CHA,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,ATL,Successful,3,02:33.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400300_20241130_194131
11/30/2024,ATL,CHA,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Retains Possession,ATL,Successful,4,00:16.9,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400300_20241130_202133
11/30/2024,PHI,DET,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,DET,Unsuccessful,3,05:00.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400301_20241130_203408
11/30/2024,GSW,PHX,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,PHX,Successful,4,09:36.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400303_20241130_225538
11/30/2024,GSW,PHX,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,GSW,Unsuccessful,4,01:06.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400303_20241130_231458
12/01/2024,IND,MEM,Challenge OOB,Away Team Ball,Stands,Away Team Ball,MEM,Unsuccessful,1,09:18.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400306_20241201_154430
12/01/2024,IND,MEM,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,IND,Unsuccessful,2,00:57.8,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400306_20241201_163455
12/01/2024,ORL,BKN,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,BKN,Successful,3,10:52.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400305_20241201_170841
12/01/2024,ORL,BKN,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,BKN,Unsuccessful,3,07:03.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400305_20241201_172155
12/01/2024,ORL,BKN,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Away Team Gains Possession,ORL,Successful,3,02:08.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400305_20241201_173325
12/01/2024,MIA,TOR,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,TOR,Successful,1,01:50.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400309_20241201_183450
12/01/2024,NOP,NYK,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Successful Field Goal,NYK,Successful,3,10:07.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400308_20241201_192459
12/01/2024,BOS,CLE,Challenge of Called Foul,Offensive Foul,Overturned,Defensive Foul,BOS,Successful,3,04:52.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400307_20241201_193223
12/01/2024,BOS,CLE,Challenge OOB,Home Team Ball,Stands,Home Team Ball,BOS,Unsuccessful,4,06:56.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400307_20241201_195343
12/01/2024,OKC,HOU,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,HOU,Unsuccessful,2,05:01.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400310_20241201_195454
12/01/2024,OKC,HOU,Challenge OOB,Home Team Ball,Stands,Home Team Ball,OKC,Unsuccessful,4,08:54.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400310_20241201_210911
12/01/2024,SAS,SAC,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Away Team Gains Possession,SAS,Successful,2,10:00.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400313_20241201_214123
12/01/2024,DAL,POR,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,POR,Unsuccessful,4,06:55.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400312_20241201_225903
12/01/2024,SAS,SAC,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Away Team Retains Possession,SAC,Successful,4,04:47.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400313_20241201_231232
12/01/2024,DAL,POR,Challenge of Called Foul,Offensive Foul,Overturned,Defensive Foul,DAL,Successful,4,00:43.6,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400312_20241201_231521
12/01/2024,DEN,LAC,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,LAC,Unsuccessful,4,02:16.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400314_20241202_001329
12/02/2024,LAL,MIN,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,MIN,Successful,2,03:53.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400318_20241202_205337
12/02/2024,LAL,MIN,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,LAL,Successful,2,03:09.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400318_20241202_205745
12/02/2024,NOP,ATL,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,NOP,Successful,3,06:19.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400315_20241202_210818
12/02/2024,BKN,CHI,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,BKN,Unsuccessful,4,01:39.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400317_20241202_221426
12/03/2024,PHI,CHA,Challenge of Called Foul,Offensive Foul,Overturned,Defensive Foul,CHA,Successful,1,07:47.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400050_20241203_191724
12/03/2024,MIL,DET,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Gains Possession,DET,Successful,1,09:10.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400052_20241203_191630
12/03/2024,PHI,CHA,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,CHA,Successful,3,08:37.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400050_20241203_202716
12/03/2024,IND,TOR,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,TOR,Unsuccessful,2,01:53.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400054_20241203_203545
12/03/2024,MIL,DET,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,DET,Unsuccessful,3,03:25.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400052_20241203_204208
12/03/2024,UTA,OKC,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,OKC,Successful,2,03:16.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400055_20241203_210015
12/03/2024,UTA,OKC,Challenge OOB,Home Team Ball,Stands,Home Team Ball,UTA,Unsuccessful,2,02:07.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400055_20241203_210620
12/03/2024,MIL,DET,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),MIL,Successful,4,02:00.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400052_20241203_211637
12/03/2024,ORL,NYK,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,ORL,Successful,4,11:38.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400053_20241203_213102
12/03/2024,ORL,NYK,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Retains Possession,ORL,Successful,4,08:26.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400053_20241203_214329
12/03/2024,SAS,PHX,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,PHX,Unsuccessful,2,06:58.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400057_20241203_214735
12/03/2024,MEM,DAL,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,MEM,Successful,3,02:11.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400056_20241203_222204
12/03/2024,MEM,DAL,Challenge OOB,Home Team Ball,Stands,Home Team Ball,MEM,Unsuccessful,4,02:23.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400056_20241203_230319
12/03/2024,SAS,PHX,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,SAS,Unsuccessful,4,02:23.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400057_20241203_231418
12/03/2024,HOU,SAC,Challenge OOB,Home Team Ball,Stands,Home Team Ball,HOU,Unsuccessful,3,04:13.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400059_20241203_234444
12/03/2024,GSW,DEN,Challenge of Called Foul,Offensive Foul,Overturned,Inadvertent Whistle - Home Team Retains Possession,DEN,Successful,4,11:32.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400058_20241203_235825
12/03/2024,HOU,SAC,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),SAC,Successful,4,05:23.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400059_20241204_001430
12/03/2024,GSW,DEN,Challenge of Called Foul,Offensive Foul,Overturned,Defensive Foul,DEN,Successful,4,04:22.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400058_20241204_001730
12/03/2024,GSW,DEN,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,GSW,Unsuccessful,4,01:48.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400058_20241204_002257
12/03/2024,POR,LAC,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),POR,Successful,4,03:34.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400060_20241204_003736
12/04/2024,LAL,MIA,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,LAL,Unsuccessful,2,09:43.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400321_20241204_201126
12/04/2024,ORL,PHI,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,PHI,Unsuccessful,2,06:19.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400322_20241204_202159
12/04/2024,IND,BKN,Challenge of Called Foul,Offensive Foul,Overturned,Defensive Foul,BKN,Successful,2,02:51.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400320_20241204_202640
12/04/2024,LAL,MIA,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,MIA,Unsuccessful,2,04:11.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400321_20241204_202925
12/04/2024,ORL,PHI,Challenge of Called Foul,Defensive Foul,Overturned,Defensive Foul,ORL,Successful,4,02:25.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400322_20241204_214514
12/04/2024,IND,BKN,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,BKN,Successful,4,03:22.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400320_20241204_214626
12/04/2024,DET,BOS,Challenge OOB,Away Team Ball,Stands,Away Team Ball,BOS,Unsuccessful,4,01:15.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400319_20241204_214832
12/04/2024,ATL,MIL,Challenge OOB,Home Team Ball,Stands,Home Team Ball,ATL,Unsuccessful,4,11:08.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400323_20241204_215807
12/04/2024,MIN,LAC,Challenge OOB,Away Team Ball,Stands,Away Team Ball,LAC,Unsuccessful,3,01:01.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400324_20241205_000919
12/04/2024,MIN,LAC,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,MIN,Successful,4,09:22.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400324_20241205_001938
12/05/2024,DEN,CLE,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,DEN,Successful,1,05:53.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400325_20241205_192613
12/05/2024,DAL,WAS,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),WAS,Successful,3,06:11.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400326_20241205_203143
12/05/2024,OKC,TOR,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,TOR,Unsuccessful,3,04:04.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400328_20241205_210855
12/05/2024,SAC,MEM,Challenge of Called Foul,Offensive Foul,Overturned,Defensive Foul,MEM,Successful,3,10:11.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400329_20241205_212928
12/05/2024,CHI,SAS,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),CHI,Successful,3,06:45.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400331_20241205_213938
12/05/2024,CHI,SAS,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,SAS,Unsuccessful,3,02:04.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400331_20241205_215133
12/05/2024,SAC,MEM,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Away Team Gains Possession,SAC,Successful,4,06:31.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400329_20241205_221524
12/05/2024,SAC,MEM,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,SAC,Successful,4,04:57.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400329_20241205_222029
12/05/2024,SAC,MEM,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,MEM,Successful,4,01:39.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400329_20241205_223015
12/05/2024,HOU,GSW,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,HOU,Successful,4,01:25.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400332_20241206_001624
12/06/2024,LAL,ATL,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,ATL,Successful,2,03:35.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400334_20241206_202501
12/06/2024,LAL,ATL,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,LAL,Successful,2,00:30.2,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400334_20241206_203838
12/06/2024,LAL,ATL,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,ATL,Unsuccessful,3,11:14.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400334_20241206_205916
12/06/2024,ORL,PHI,Challenge Goaltending/BI,Basket Interference,Stands,Basket Interference,PHI,Unsuccessful,4,07:12.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400333_20241206_211107
12/06/2024,SAC,SAS,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,SAC,Unsuccessful,3,09:33.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400337_20241206_212857
12/06/2024,MIL,BOS,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,BOS,Successful,4,05:41.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400335_20241206_213801
12/06/2024,MIL,BOS,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,BOS,Unsuccessful,4,00:23.7,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400335_20241206_215521
12/06/2024,LAL,ATL,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,LAL,Successful,5,00:25.9,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400334_20241206_221626
12/06/2024,MIN,GSW,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,MIN,Successful,3,01:18.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400338_20241206_235307
12/06/2024,ORL,PHI,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),ORL,Successful,3,08:19.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/
12/07/2024,CLE,CHA,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Gains Possession,CHA,Successful,2,07:57.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400340_20241207_134612
12/07/2024,CLE,CHA,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,CLE,Successful,3,07:13.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400340_20241207_143125
12/07/2024,OKC,NOP,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,OKC,Unsuccessful,2,04:28.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400342_20241207_195555
12/07/2024,OKC,NOP,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,NOP,Unsuccessful,3,11:43.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400342_20241207_202550
12/07/2024,DEN,WAS,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Away Team Gains Possession,DEN,Successful,4,02:01.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400341_20241207_212113
12/07/2024,DAL,TOR,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,TOR,Unsuccessful,4,00:48.2,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400344_20241207_214848
12/07/2024,PHX,MIA,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,PHX,Unsuccessful,4,03:41.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400346_20241207_221204
12/07/2024,MEM,BOS,Challenge OOB,Away Team Ball,Stands,Away Team Ball,BOS,Unsuccessful,4,05:15.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400345_20241207_221722
12/07/2024,MEM,BOS,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,MEM,Successful,1,00:17.1,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400345_20241207_222724
12/08/2024,PHI,CHI,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),CHI,Successful,3,00:38.7,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400347_20241208_144455
12/08/2024,MIL,BKN,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,BKN,Successful,4,08:02.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400348_20241208_173421
12/08/2024,MIL,BKN,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Successful Field Goal,MIL,Successful,4,05:46.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400348_20241208_174118
12/08/2024,CHA,IND,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,IND,Successful,2,02:28.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400349_20241208_180151
12/08/2024,CHA,IND,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,IND,Unsuccessful,4,08:07.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400349_20241208_185841
12/08/2024,PHX,ORL,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,PHX,Unsuccessful,2,09:28.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400352_20241208_191408
12/08/2024,CHA,IND,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,CHA,Successful,4,02:41.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400349_20241208_191546
12/08/2024,CHA,IND,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Away Team Gains Possession,CHA,Successful,4,00:51.8,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400349_20241208_192154
12/08/2024,CLE,MIA,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),CLE,Successful,3,08:39.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400351_20241208_193056
12/08/2024,DEN,ATL,Challenge of Called Foul,Offensive Foul,Overturned,Defensive Foul,DEN,Successful,3,01:39.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400350_20241208_195200
12/08/2024,NOP,SAS,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,SAS,Successful,3,08:50.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400354_20241208_203022
12/08/2024,NOP,SAS,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),NOP,Successful,4,00:47.2,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400354_20241208_212115
